YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2021,3,22498,24699,autotrader
2022,2,30275,24066,autotrader
2023,1,13809,24995,autotrader
2015,9,133958,12495,autotrader
2014,10,106959,12980,autotrader
2012,12,46088,14995,car guru
2016,8,80983,14999,car guru
2017,7,54156,15997,car guru
2018,6,90737,17497,car guru
2012,12,145230,10450,car guru
2022,2,29000,27000,craigslist
2020,4,32715,24000,craigslist
2021,3,88465,19500,craigslist
2017,7,127000,13998,craigslist
2015,9,121579,13500,craigslist